"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian","Message Type","Message Group",""
"Race Intro - Pre-Race Talk","ComplacentIntro","","AnyDriver","This is going to be a cakewalk!","PSG_10000696","","","","","","","Ça va être du gâteau !","Sarà una passeggiata!","Das wird ein Kinderspiel!","¡Esto va a estar chupado!","Isso vai ser moleza!","Dit wordt een eitje!","Ez sétagalopp lesz!","To będzie kaszka z mleczkiem!","Да это будет проще простого!","Conversation","ComplacentIntro",""
"Race Intro - Pre-Race Talk","ComplacentOption1","","Player","Yep... just go out there and do your thing!","PSG_10001660","","","","","","","Je le pense aussi. Vous savez ce que vous avez à faire !","Sì... Vai a fare quel che ti riesce meglio!","Jawohl ... Mach da draußen einfach dein Ding!","Sí... ¡Tú sal ahí y hazlo como sabes!","É... vai lá e faça o que sabe fazer!","Ja... doe gewoon je ding!","Aha... Na, nyomás kifelé, és tedd a dolgod!","Tak... idź tam i pokaż, co potrafisz!","Ну да. Выходи и покажи себя, вот и все!","Conversation","ComplacentOption1",""
"Race Intro - Pre-Race Talk","ComplacentOption1","","Player","Try to enjoy yourself out there!","PSG_10001661","","","","","","","Essayez de vous amuser !","Cerca di divertirti!","Versuch, da draußen Spaß zu haben!","¡Intenta disfrutar!","Tente se divertir lá!","Probeer ervan te genieten!","Próbáld meg jól érezni magad odakint!","Baw się dobrze!","Получи там удовольствие по максимуму!","Conversation","ComplacentOption1",""
"Race Intro - Pre-Race Talk","ComplacentOption2","","Player","Not a chance - concentrate!","PSG_10001662","","","","","","","Ça m'étonnerait. Concentrez-vous !","Nemmeno per sogno... Concentrati!","Auf keinen Fall, konzentrier dich!","Para nada... ¡Concentración!","Sem chance, concentre-se!","Dat gaat niet werken. Concentreer je!","Ez kizárt – koncentrálj!","Nie ma szans. Skup się!","Ну уж нет! Не расслабляйся, будь начеку!","Conversation","ComplacentOption2",""
"Race Intro - Pre-Race Talk","ComplacentOption2","","Player","Wake up - this is an important race!","PSG_10001678","","","","","","","Ne vous relâchez pas, cette course est très importante !","Sveglia! Questa è una gara importante!","Aufwachen, das ist ein wichtiges Rennen!","Despierta. ¡Es una carrera importante!","Acorda, essa corrida é importante!","Wakker worden. Dit is een belangrijke race!","Ébresztő – ez egy fontos verseny!","Obudź się! To bardzo ważny wyścig!","Не расслабляйся! Это важная гонка!","Conversation","ComplacentOption2",""
"Race Intro - Pre-Race Talk","ComplacentOption2Response","","AnyDriver","Right... sorry boss.","PSG_10001663","","","","","","","D'accord... Excusez-moi.","Giusto... Scusa.","Stimmt, tut mir leid.","Es verdad. Lo siento.","Certo... desculpa chefe.","Inderdaad... sorry, baas.","Rendben... Bocs, főnök.","Jasne... Wybacz.","Да, босс, простите.","Conversation","ComplacentOption2Response",""
"Race Intro - Pre-Race Talk","DistractedIntro","","AnyDriver","What? Oh, right... hi boss.","PSG_10001664","","","","","","","Hein ? Oh, pardon... Bonjour.","Cosa? Oh, giusto... Ciao!","Was? Ach ja ... Ähm, hallo.","¿Qué? Oh, es verdad... Hola.","O quê? Ah, certo... oi, chefe.","Wat? O, ja... hallo, baas.","Hogy mi? Ó, rendben... Üdv, főnök!","Co?! A, tak... Cześć.","Что? А, да... привет, босс.","Conversation","Distracted",""
"Race Intro - Pre-Race Talk","DistractedIntro","","AnyDriver","Boss... I think my girlfriend is going to leave me...","PSG_10001665","","","","","","","Je crois que ma copine va me quitter...","Uff... Mi sa che la mia ragazza sta per lasciarmi...","... Ich glaube, meine Freundin will mich verlassen ...","Uff... Creo que mi novia va a dejarme...","Chefe... Acho que minha namorada vai me deixar...","Baas... Ik denk dat mijn vriendin bij me weg wil...","Főnök... Szerintem a csajom el akar hagyni...","Słuchaj... Moja dziewczyna chyba chce mnie zostawić...","Босс... Кажется, моя девушка хочет от меня уйти...","Conversation","Distracted",""
"Race Intro - Pre-Race Talk","NervousAboutDriverIntro","","AnyDriver","I'm worried about racing {RivalDriver}, boss... ","PSG_10000129","","","","","","","Ça m'inquiète de courir contre {RivalDriver}... ","Mi preoccupa molto sfidare {RivalDriver}... ","Ich hab Angst, gegen {RivalDriver} zu fahren ... ","Me preocupa competir con {RivalDriver}... ","Me preocupa correr contra {RivalDriver}, chefe... ","Ik maak me zorgen over de race tegen {RivalDriver}, baas... ","Aggaszt a(z) {RivalDriver} elleni verseny, főnök... ","{RivalDriver} trochę mnie przeraża... ","{RivalDriver} - опытный гонщик, состязаться с ним нелегко, босс.","Conversation","NervousAboutDriverIntro",""
"Race Intro - Pre-Race Talk","NervousAboutDriverIntro","","AnyDriver","Boss, {RivalDriver} looks in scarily good form. It's gonna be tough to beat him.","PSG_10000143","","","","","","","{RivalDriver} a l'air en pleine forme. Je crois que je vais avoir du mal à faire mieux.","{RivalDriver} sembra proprio in ottima forma. Sarà un osso duro.","{RivalDriver} scheint beängstigend gut in Form zu sein. Es wird schwer, ihn zu schlagen.","{RivalDriver} está que da miedo. Va a costar ganarle.","Chefe, {RivalDriver} parece estar assustadoramente em boa forma. Vai ser difícil vencer essa.","Baas... {RivalDriver} is in bloedvorm. Het zal nog lastig worden om hem te verslaan.","Főnök, {RivalDriver} ijesztően jó formában van. Kemény menet lesz lenyomni.","{RivalDriver} jest chyba w świetnej formie. Ciężko będzie go pokonać.","Босс, {RivalDriver} сейчас уж очень силен, прямо на пике формы. Трудно будет его победить.","Conversation","NervousAboutDriverIntro",""
