"Sprite Reference","Continent","Type","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian",""
"Afghanistan","Asia","Country","HUDText","Afghanistan","PSG_10000883","","","","","","","Afghanistan","Afghanistan","Afghanistan","Afganistán","Afeganistão","Afghanistan","Afganisztán","Afganistan","Афганистан",""
"Albania","Europe","Country","HUDText","Albania","PSG_10000884","","","","","","","Albanie","Albania","Albanien","Albania","Albânia","Albanië","Albánia","Albania","Албания",""
"Algeria","Africa","Country","HUDText","Algeria","PSG_10000885","","","","","","","Algérie","Algeria","Algerien","Argelia","Argélia","Algerije","Algéria","Algieria","Алжир",""
"Andorra","Europe","Country","HUDText","Andorra","PSG_10000886","","","","","","","Andorre","Andorra","Andorra","Andorra","Andorra","Andorra","Andorra","Andora","Андорра",""
"Angola","Africa","Country","HUDText","Angola","PSG_10000887","","","","","","","Angola","Angola","Angola","Angola","Angola","Angola","Angola","Angola","Ангола",""
"AntiguaandBarbuda","North America","Country","HUDText","Antigua and Barbuda","PSG_10000888","","","","","","","Antigua-et-Barbuda","Antigua e Barbuda","Antigua und Barbuda","Antigua y Barbuda","Antígua e Barbuda","Antigua en Barbuda","Antigua és Barbuda","Antigua i Barbuda","Антигуа и Барбуда",""
"Argentina","South America","Country","HUDText","Argentina","PSG_10000889","","","","","","","Argentine","Argentina","Argentinien","Argentina","Argentina","Argentinië","Argentína","Argentyna","Аргентина",""
"Armenia","Europe","Country","HUDText","Armenia","PSG_10000890","","","","","","","Arménie","Armenia","Armenien","Armenia","Armênia","Armenië","Örményország","Armenia","Армения",""
"Aruba","South America","Country","HUDText","Aruba","PSG_10011107","","","","","","","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Аруба",""
"Australia","Oceania","Country","HUDText","Australia","PSG_10000891","","","","","","","Australie","Australia","Australien","Australia","Austrália","Australië","Ausztrália","Australia","Австралия",""
"Austria","Europe","Country","HUDText","Austria","PSG_10000892","","","","","","","Autriche","Austria","Österreich","Austria","Áustria","Oostenrijk","Ausztria","Austria","Австрия",""
"Azerbaijan","Europe","Country","HUDText","Azerbaijan","PSG_10000893","","","","","","","Azerbaïdjan","Azerbaigian","Aserbaidschan","Azerbaiyán","Azerbaijão","Azerbeidzjan","Azerbajdzsán","Azerbejdżan","Азербайджан",""
"Bahamas","North America","Country","HUDText","Bahamas","PSG_10000894","","","","","","","Bahamas","Bahamas","Bahamas","Bahamas","Bahamas","Bahama's","Bahama-szigetek","Bahamy","Багамы",""
"Bahrain","Asia","Country","HUDText","Bahrain","PSG_10000895","","","","","","","Bahreïn","Bahrein","Bahrain","Baréin","Bahrein","Bahrein","Bahrein","Bahrajn","Бахрейн",""
